Acronym,Spelled Out
COGO,Contractor-Owned Government-Operated
CONOPS,Concept of Operations
CONUS,Continental United States
COOP,Continuity of Operations Plan
COTS,Commercial Off-The-Shelf
CPI,Critical Program Information
CPM,Critical Path Method
CPAF,Cost Plus Award Fee
CPFF,Cost Plus Fixed Fee
CPIF,Cost Plus Incentive Fee
CRD,Capstone Requirements Document
CSA,Computer Security Act
CSAF,Chief of Staff of the Air Force
CSC,Computer Sciences Corporation
CSIS,Center for Strategic and International Studies
CSOM,Communications Security Operational Monitor
CSS,Central Security Service
CTD,Concept Technology Demonstration
CTF,Combined Test Force
CTR,Contractor
CUI,Controlled Unclassified Information
CVE,Common Vulnerabilities and Exposures
CWBS,Contract Work Breakdown Structure
DAB,Defense Acquisition Board
DAES,Defense Acquisition Executive Summary
DAG,Defense Acquisition Guidebook
DARPA,Defense Advanced Research Projects Agency
DAU,Defense Acquisition University
DBS,Defense Business Systems
DCAA,Defense Contract Audit Agency
DCMA,Defense Contract Management Agency
DDN,Defense Data Network
DDR&E,Director Defense Research and Engineering
DEAMS,Defense Enterprise Accounting and Management System
DevSecOps,Development Security and Operations
DHS,Department of Homeland Security
DIA,Defense Intelligence Agency
DIACAP,DoD Information Assurance Certification and Accreditation Process
DIARMF,DoD Information Assurance Risk Management Framework
DISA,Defense Information Systems Agency
DISN,Defense Information Systems Network
DITSCAP,DoD IT Security Certification and Accreditation Process
DLA,Defense Logistics Agency
DLT,Distributed Ledger Technology
DMC,Direct Material Cost
DMEA,Defense Microelectronics Activity
DMS,Defense Message System
DNA,Defense Nuclear Agency
DoD,Department of Defense
DoDD,Department of Defense Directive
DoDI,Department of Defense Instruction
DoDM,Department of Defense Manual
DPAP,Defense Procurement and Acquisition Policy
DRB,Defense Review Board
DRR,Design Readiness Review
DSB,Defense Science Board
DSP,Defense Satellite Program
DTIC,Defense Technical Information Center
DT&E,Developmental Test and Evaluation
EA,Enterprise Architecture
EASI,Estimate of Adversary Sequence Interruption
ECM,Electronic Countermeasures
ECP,Engineering Change Proposal
EHF,Extremely High Frequency
EITDR,Enterprise IT Data Repository
EMC,Electromagnetic Compatibility
EMD,Engineering and Manufacturing Development
EMI,Electromagnetic Interference
EMP,Electromagnetic Pulse
EOA,Early Operational Assessment
EO/IR,Electro-Optical/Infrared
ERB,Engineering Review Board
ERP,Enterprise Resource Planning
ESG,Executive Steering Group
EVM,Earned Value Management
EVMS,Earned Value Management System
EW,Electronic Warfare
FAA,Federal Aviation Administration
FAR,Federal Acquisition Regulation
FARA,Federal Acquisition Reform Act
FASA,Federal Acquisition Streamlining Act
FCT,Foreign Comparative Test
FDD,Feature-Driven Development
FFBD,Functional Flow Block Diagram
FFP,Firm Fixed Price
FFRDC,Federally Funded Research and Development Center
FISMA,Federal Information Security Management Act
FMS,Foreign Military Sales
FOC,Full Operational Capability
FOCI,Foreign Ownership Control or Influence
FPIF,Fixed Price Incentive Firm
FQR,Formal Qualification Review
FRP,Full Rate Production
FSA,Functional Solution Analysis
FUE,First Unit Equipped
GAO,Government Accountability Office
GEOINT,Geospatial Intelligence
GOCO,Government-Owned Contractor-Operated
GOGO,Government-Owned Government-Operated
GOTS,Government Off-The-Shelf
GPC,Government Purchase Card
GPS,Global Positioning System
GS,General Schedule
GSA,General Services Administration
HMMWV,High Mobility Multipurpose Wheeled Vehicle
HUMINT,Human Intelligence
IA,Information Assurance
IC,Intelligence Community
ICA,Independent Cost Assessment
ICB,Investment Control Board
ICD,Initial Capabilities Document
ICRP,Industrial Capabilities and Readiness Plan
ICS,Industrial Control Systems
ICT,Information and Communications Technology
IDE,Integrated Development Environment
IDS,Intrusion Detection System
IEEE,Institute of Electrical and Electronics Engineers
IGT,Inspector General
ILS,Integrated Logistics Support
IMINT,Imagery Intelligence
IOC,Initial Operational Capability
IOT&E,Initial Operational Test and Evaluation
IPS,Intrusion Prevention System
IPT,Integrated Product Team
IR,Infrared
IR&D,Independent Research and Development
IRTPA,Intelligence Reform and Terrorism Prevention Act
ISA,Interconnection Security Agreement
ISCM,Information Security Continuous Monitoring
ISO,International Organization for Standardization
ISP,Information Support Plan
ISR,Intelligence Surveillance and Reconnaissance
ISSM,Information System Security Manager
ISSO,Information System Security Officer
IT,Information Technology
ITAR,International Traffic in Arms Regulations
ITIL,Information Technology Infrastructure Library
ITV,In-Transit Visibility
J-6,Joint Staff Directorate for C4
JCIDS,Joint Capabilities Integration and Development System
JFC,Joint Forces Command
JFHQ,Joint Force Headquarters
JIATF,Joint Interagency Task Force
JIPTO,Joint Improvised-Threat Defeat Organization
JITC,Joint Interoperability Test Command
JOC,Joint Operations Concept
JPDO,Joint Planning and Development Office
JROC,Joint Requirements Oversight Council
JSIG,Joint Special Interest Group
KPP,Key Performance Parameter
KSA,Key System Attribute
LCC,Life Cycle Cost
LCCE,Life Cycle Cost Estimate
LCSP,Life Cycle Sustainment Plan
LEA,Law Enforcement Agency
LOA,Letter of Offer and Acceptance
LOS,Line of Sight
LRIP,Low Rate Initial Production
LRRD,Long Range Research and Development
M&S,Modeling and Simulation
MAIS,Major Automated Information System
MALLS,Master Automated Logistics Listing System
MBE,Model-Based Engineering
MBSE,Model-Based Systems Engineering
MDA,Milestone Decision Authority
MDAP,Major Defense Acquisition Program
MEO,Most Efficient Organization
MFP,Major Force Program
MILCON,Military Construction
MILSPEC,Military Specification
MILSTD,Military Standard
MIPS,Million Instructions Per Second
ML,Machine Learning
MOA,Memorandum of Agreement
MOE,Measure of Effectiveness
MOP,Measure of Performance
MOS,Measure of Suitability
MOU,Memorandum of Understanding
MRAP,Mine-Resistant Ambush Protected
MSA,Materiel Solution Analysis
MYP,Multi-Year Procurement
NAE,Naval Aviation Enterprise
NATO,North Atlantic Treaty Organization
NAVAIR,Naval Air Systems Command
NAVSEA,Naval Sea Systems Command
NAVWAR,Naval Information Warfare Systems Command
NDIA,National Defense Industrial Association
NDS,National Defense Strategy
NGA,National Geospatial-Intelligence Agency
NIE,Network Integration Evaluation
NIST,National Institute of Standards and Technology
NLT,Not Later Than
NNSA,National Nuclear Security Administration
NOC,Network Operations Center
NSA,National Security Agency
NSS,National Security Strategy
NSS,National Security System
O&M,Operations and Maintenance
O&S,Operating and Support
OCONUS,Outside Continental United States
OEM,Original Equipment Manufacturer
OMB,Office of Management and Budget
OPSEC,Operations Security
OSD,Office of the Secretary of Defense
OSINT,Open-Source Intelligence
OT&E,Operational Test and Evaluation
OTA,Other Transaction Authority
OUSD,Office of the Under Secretary of Defense
P3I,Preplanned Product Improvement
PAO,Public Affairs Officer
PBAC,Program Budget Advisory Committee
PBL,Performance-Based Logistics
PCA,Physical Configuration Audit
PCO,Procuring Contracting Officer
PDA,Program Deviation Approval
PDR,Preliminary Design Review
PEO,Program Executive Officer
PES,Programmed Electronics System
PESHE,Programmatic Environment Safety and Health Evaluation
PII,Personally Identifiable Information
PIT,Platform Information Technology
PKI,Public Key Infrastructure
PM,Program Manager
PMO,Program Management Office
POA&M,Plan of Action and Milestones
POC,Point of Contact
POM,Program Objective Memorandum
PPB&E,Planning Programming Budgeting and Execution
PPBE,Planning Programming Budgeting and Execution
PSM,Practical Software and Systems Measurement
QA,Quality Assurance
QC,Quality Control
R&D,Research and Development
RBA,Risk-Based Assessment
RBAC,Role-Based Access Control
RCM,Reliability Centered Maintenance
RDT&E,Research Development Test and Evaluation
RFI,Request for Information
RFP,Request for Proposal
RFQ,Request for Quote
RM,Risk Management
RMF,Risk Management Framework
ROI,Return on Investment
RPA,Remotely Piloted Aircraft
RTO,Recovery Time Objective
S&T,Science and Technology
SAE,Service Acquisition Executive
SAM,System for Award Management
SAP,Special Access Program
SAR,Selected Acquisition Report
SBIR,Small Business Innovation Research
SBOM,Software Bill of Materials
SCA,Security Control Assessment
SCD,Source Control Drawing
SCM,Software Configuration Management
SDD,System Development and Demonstration
SDR,System Design Review
SE,Systems Engineering
SECDEF,Secretary of Defense
SECNAV,Secretary of the Navy
SEI,Software Engineering Institute
SEMP,Systems Engineering Management Plan
SIGINT,Signals Intelligence
SIPR,Secret Internet Protocol Router
SLA,Service Level Agreement
SLOC,Source Lines of Code
SME,Subject Matter Expert
SOA,Service Oriented Architecture
SOC,Security Operations Center
SOCOM,Special Operations Command
SOP,Standard Operating Procedure
SOW,Statement of Work
SPAWAR,Space and Naval Warfare Systems Command
SRD,System Requirements Document
SRR,System Requirements Review
SRTM,System Requirements Traceability Matrix
SSA,Source Selection Authority
SSC,SPAWAR Systems Center
SSDP,Single Sign-On Desktop Portal
SSP,System Security Plan
SSPP,System Safety Program Plan
STAR,System Threat Assessment Report
STIG,Security Technical Implementation Guide
STTR,Small Business Technology Transfer
SWaP,Size Weight and Power
SysML,Systems Modeling Language
T&E,Test and Evaluation
TCSEC,Trusted Computer System Evaluation Criteria
TDP,Technical Data Package
TEMP,Test and Evaluation Master Plan
TFR,Temporary Flight Restriction
TOR,Terms of Reference
TPM,Technical Performance Measurement
TRL,Technology Readiness Level
TTP,Tactics Techniques and Procedures
UAV,Unmanned Aerial Vehicle
UAS,Unmanned Aircraft System
UCMJ,Uniform Code of Military Justice
UGV,Unmanned Ground Vehicle
UIS,Unified Information System
UJTL,Universal Joint Task List
USG,United States Government
USNORTHCOM,United States Northern Command
USPACOM,United States Pacific Command
USSTRATCOM,United States Strategic Command
V&V,Verification and Validation
VPN,Virtual Private Network
VTC,Video Teleconference
WBS,Work Breakdown Structure
WIPT,Working Integrated Product Team
WMA,Warfighting Mission Area
XML,Extensible Markup Language
XSS,Cross-Site Scripting
ZTA,Zero Trust Architecture
